ident,site,code,type_eng,Li,Mg,Al,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Ag,Cd,Sn,Sb,Ba,Pb,Bi,Pb207_206,Pb208_206,Pb206_204,Pb207_204,Pb208_204
43,Prosmyky,PRO_238-04,brooch_M,0.00468,0.09619,0.47786,0,0.00284,0,0,0.01544,0.08836,82.87975,0.03051,0.14085,0.06048,0.00505,14.41022,0.10531,0.00776,1.64625,0.0378,0.846108583584187,2.0884851,18.52070154,15.66957639,38.6802092457446
44,Prosmyky,PRO_238-05,bracelet,0.00452,0,0.35312,0,0.00297,0.00487,0,0.01991,0.11657,82.83296,0.00093,0.19243,0.03971,0.00207,14.52704,0.15953,0.00389,1.73489,0.02523,0.842961338509878,2.08304313,18.59437365,15.67441963,38.7328822573511
45,Prosmyky,PRO_238-06,anklet,0.004,0.08346,0.3857,0,0.00014,0.00427,0,0.00448,0.07401,85.33302,0.02344,0.07725,0.01185,0.00106,13.68708,0.0499,0.01055,0.26033,0.00599,0.84644073574782,2.08460256,18.49132141,15.65164062,38.5470559057369
46,Prosmyky,PRO_238-07,anklet,0.00526,0,0.33149,0,0.00394,0,0,0.0045,0.03071,86.75618,0.01367,0.07593,0.01295,0.00138,12.48842,0.05134,0.00531,0.25598,0.00079,0.845294637495163,2.08285848,18.52259601,15.65692983,38.5799461097091
47,Vlineves,VLI_292-01,torc,0,0.119141,0.041788,0.001309,0,0.003458,0.671378,0.004791,0.048469,88.334304,0.086232,0.120499,0.010571,0.000173,10.14147,0.068338,0.014991,0.320862,0.012225,0.838588,2.072976,18.644203,15.634812,38.6489794342391
48,Vlineves,VLI_292-02,torc,0,0,0.081894,0.009155,0,0.010866,0.118414,0.004125,0.022989,93.871683,0,0,0.026359,0.000101,5.713096,0.029377,0,0.111942,0,0.846286,2.087785,18.466942,15.628323,38.5550058369103
49,Vlineves,VLI_292-03,brooch_M,0,0.02997,0.042145,0,0.005236,0.00281,0.108897,0.001618,0.041592,91.484343,0,0.064452,0.009025,0.000341,8.158004,0.017199,0.015496,0.018873,0,0.855921,2.102601,18.236207,15.608923,38.3434606829249
50,Vlineves,VLI_292-04,brooch_M,0,0,0.023268,0,0.001129,0.000958,0.27443,0.010813,0.02515,86.828107,0,0.075006,0.009786,0.000205,12.737824,0.00787,0,0.005452,0,0.831768,2.048574,18.751275,15.596618,38.4133796564889
51,Vlineves,VLI_292-05,brooch_M,0,0.066066,0.028837,0,0,0.002065,0.141722,0.004196,0.061171,92.677949,0.019413,0.129734,0.027505,6.7E-05,6.371912,0.077587,0.09457,0.297207,0,0.840462,2.077598,18.625662,15.654061,38.6966367676091
52,Vlineves,VLI_292-06,bracelet,0,0,0.004637,0,0,0,0.202185,0.008573,0.054156,87.205597,0,0.156113,0.013987,0,10.759138,0.091091,0,1.496502,0.008021,0.836958,2.070003,18.695729,15.647718,38.7002176611031
53,Vlineves,VLI_292-07,anklet-saddle,0,0.019834,0.019742,0.001639,0.001004,0.001108,0.176777,0.001616,0.014143,88.160787,0.012111,0.200121,0.010644,9.2E-05,11.31008,0.058395,0.00344,0.008466,0,0.85326,2.09742,18.302372,15.616625,38.3877667464986
54,Vlineves,VLI_292-08,anklet-saddle,0,0.001548,0.0169,0.001018,0,0,0.010485,0.001725,0.012808,86.649515,0.030415,0.169221,0.010131,0,12.999095,0.05915,0.02066,0.017328,0,0.844935,2.08348,18.515534,15.644506,38.5767534400417
55,Vlineves,VLI_289-01,bracelet,0,0,0.011024,0,0,0,0.02538,0.022488,0.083087,89.834329,0,0.187572,0.008488,0,8.654025,0.09628,0,1.048972,0.028356,0.844716,2.085924,18.534051,15.655382,38.6606209977311
56,Vlineves,VLI_305-01,bracelet,0,0.021269,0.017065,0,0,0.003091,0.023989,0.027534,0.08827,88.867595,0.04429,0.219326,0.024773,8.2E-05,8.11297,0.094185,0.021187,2.39942,0.034954,0.838662,2.075327,18.662847,15.651825,38.7315133568589
57,Vlineves,VLI_305-02,bracelet,0,0,0,0,0,0,0,0.019683,0.012383,86.077227,0.006543,0.154759,0.009733,0,13.596962,0.020007,0,0.094376,0.008327,0.842964,2.080713,18.524531,15.616001,38.5442409764018
58,Vlineves,VLI_313-01,brooch_D,0,0.004233,0.007308,0,0,0,0.01693,0.006151,0.026902,86.751174,0.011891,0.178009,0.007582,0,12.917603,0.048232,0.009318,0.014667,0,0.852288,2.096116,18.334844,15.626542,38.4319555449322
59,Vlineves,VLI_313-02,brooch_D,0,0,0.025094,0.00217,0,0,0,0.004951,0.029808,88.18541,0.005528,0.072231,0.006986,6.8E-05,11.558719,0.045237,0.04361,0.020188,0,0.851296,2.09285,18.346268,15.618364,38.3959912893978
60,Zemechy,ZEM_44-01,brooch_D,0,0.039113,0,0.003265,0.001399,0,2.593183,0.005497,0.017158,87.779084,0.07866,0.103797,0.011394,0,9.288722,0.023122,-0.0005,0.056105,0,0.846709,2.086167,18.461072,15.63069,38.512874
61,Zemechy,ZEM_44-02,brooch_D,0,0,0,0,0,0,0,0.000995,0.012883,89.182174,0,0.030605,0.00763,0,10.7217,0.032567,0,0.011667,0,0.843522,2.084341,18.593939,15.683968,38.756109
62,Zemechy,ZEM_44-03,brooch_D,0,0,0,0.006372,0,0,0,0.004232,0.025927,87.754736,0,0.116965,0.005837,0,12.015639,0.047477,0.000292,0.022522,0,0.845917,2.088532,18.538063,15.681007,38.717345
63,Zemechy,ZEM_44-04,brooch_D,0,0.00413,0,0.001075,0,0,0,0.009677,0.142785,88.701685,0.008944,0.197537,0.008357,0,8.630759,0.122087,0,2.109036,0.063927,0.855522,2.104727,18.265032,15.625524,38.442902
64,Zemechy,ZEM_44-05,brooch_D,0,0,2.920446,0.007003,0.000433,0,0,0.000866,0.004513,85.23689,0,0.063952,0.004874,0,11.725104,0.031768,0,0.004152,0,0.849703,2.088631,18.395227,15.63087,38.420842
