ident.,site,type_eng,Li,Mg,Al,Mn,Fe,Co,Ni,Cu,Zn,As,Ag,Sn,Sb,Pb,Bi
60,Prosmyky,torc,0.00342,0.00000,0.35921,0.00154,0.52021,0.01457,0.08173,84.84882,0.03165,0.25034,0.04106,13.01542,0.11511,0.70804,0.00878
61,Prosmyky,brooch_D,0.00248,0.02474,0.02354,0.00082,0.59875,0.00315,0.02012,85.57269,0.02068,0.06488,0.00516,13.58264,0.03061,0.04953,0.00027
62,Prosmyky,brooch_D,0.00269,0.00551,0.00985,0.00269,0.63489,0.00241,0.02159,84.76463,0.00629,0.08507,0.00679,14.42522,0.02209,0.01321,0.00086
63,Prosmyky,brooch_D,0.00122,0.00000,0.00000,0.00077,0.45399,0.00285,0.04635,92.71173,0.04992,0.14362,0.02486,5.78614,0.04837,0.72159,0.00251
64,Prosmyky,brooch_D,0.00164,0.00000,0.00233,0.00298,1.06680,0.00126,0.02307,86.65408,0.00217,0.08131,0.00569,12.12382,0.02349,0.02649,0.00226
65,Prosmyky,bracelet,0.00292,0.02612,0.02939,0.00120,0.52583,0.03065,0.05590,87.68538,0.02241,0.16866,0.03854,10.91220,0.06647,0.40455,0.00218
66,Prosmyky,bracelet,0.00383,0.00000,0.05041,0.00032,0.60391,0.00286,0.03518,87.19592,0.13937,0.11788,0.03682,11.36293,0.07480,0.36968,0.00096
67,Prosmyky,bracelet,0.00513,0.01648,0.00032,0.00087,0.21163,0.01686,0.15330,91.98297,0.00000,0.24673,0.03615,5.25661,0.20055,1.84988,0.02038
68,Prosmyky,bracelet,0.00061,0.03905,0.04150,0.00024,0.43853,0.02337,0.08935,86.74241,0.03473,0.21326,0.04008,10.19706,0.08723,2.01983,0.02337
69,Prosmyky,bracelet,0.00019,0.05330,0.00000,0.00320,0.14526,0.02623,0.07319,80.94147,0.07756,0.29776,0.03256,7.00892,0.14703,11.16452,0.01219
70,Prosmyky,bracelet,0.00356,0.01462,0.01433,0.00034,0.37121,0.02502,0.13768,86.69399,0.01229,0.38388,0.03118,8.84930,0.27191,3.16331,0.01706
71,Prosmyky,bracelet,0.00473,0.00000,0.03054,0.00178,0.29623,0.01351,0.02118,87.80659,0.03688,0.03586,0.01572,11.69283,0.00821,0.03148,0.00322
72,Prosmyky,brooch_D,0.00521,0.00000,0.00191,0.00090,0.44047,0.02038,0.11683,87.04474,0.06946,0.24551,0.06374,11.09434,0.15907,0.73973,0.00375
73,Prosmyky,brooch_M,0.00322,0.00000,0.00257,0.00457,0.55035,0.00875,0.04736,88.56311,0.13223,0.11128,0.00899,10.50980,0.01782,0.05196,0.00000
74,Prosmyky,bracelet,0.00000,0.00854,0.00401,0.00416,0.44695,0.00711,0.06755,87.68898,0.15134,0.12318,0.04038,8.01274,0.08813,3.36168,0.00022
75,Prosmyky,anklet,0.00331,0.02674,0.00000,0.00283,0.42657,0.00866,0.05458,88.09895,0.10935,0.12351,0.03475,10.25883,0.08717,0.74733,0.00169
76,Prosmyky,anklet,0.00441,0.05069,0.00000,0.00468,0.21217,0.00744,0.05478,88.39634,0.05715,0.12237,0.03702,10.19863,0.08610,0.78210,0.00204
77,Prosmyky,bracelet,0.00290,0.08735,0.00000,0.00246,0.88333,0.04288,0.22214,86.84152,0.04946,0.20997,0.03070,9.77354,0.15150,1.69736,0.00179
78,Prosmyky,bracelet,0.00147,0.16663,0.03455,0.00284,0.17446,0.02086,0.14030,85.55370,0.03486,0.25983,0.03767,10.42730,0.20615,2.93061,0.00789
79,Prosmyky,anklet,0.00473,0.00000,0.00000,0.00452,0.41202,0.02074,0.14428,85.80321,0.02788,0.26630,0.02441,10.15239,0.20093,2.93744,0.00946
80,Prosmyky,bracelet,0.00324,0.00000,0.39602,0.00350,0.27022,0.00104,0.01318,88.85425,0.02629,0.02676,0.02224,10.36205,0.01635,0.01168,0.00224
81,Prosmyky,brooch_D,0.00009,0.15841,0.53312,0.00472,0.70493,0.02773,0.11461,86.73346,0.06927,0.19280,0.03085,9.80752,0.12419,1.47759,0.01296
82,Prosmyky,brooch_D,0.00304,0.00000,0.34830,0.00287,0.32921,0.01312,0.08294,88.74301,0.06307,0.15684,0.02993,9.42662,0.10987,0.68496,0.00423
83,Prosmyky,brooch_D,0.00277,0.00795,0.38166,0.00416,0.95421,0.01256,0.02770,86.89420,0.08443,0.16063,0.01582,11.29410,0.03135,0.13548,0.00069
84,Prosmyky,brooch_D,0.00425,0.00234,0.37107,0.00181,0.17221,0.01566,0.13034,87.16675,0.02488,0.19704,0.04419,9.50112,0.17637,2.19263,0.01130
85,Prosmyky,brooch_D,0.00527,0.17202,0.41605,0.00496,0.00000,0.01564,0.07539,86.40285,0.05313,0.19824,0.03739,10.77252,0.17820,1.67224,0.00759
86,Prosmyky,brooch_D,0.00339,0.18768,0.42673,0.00267,0.41796,0.00412,0.01892,91.06164,0.00880,0.18519,0.00595,7.63530,0.02246,0.01904,0.00255
87,Prosmyky,bracelet,0.00354,0.00802,0.37950,0.00000,3.39278,0.03411,0.08558,84.29702,0.00896,0.16493,0.03543,11.14764,0.06644,0.37112,0.00260
88,Prosmyky,bracelet,0.00261,0.10254,0.36475,0.00000,0.12759,0.02160,0.05943,87.52147,0.01328,0.13577,0.02971,10.85772,0.06466,0.69311,0.00149
89,Prosmyky,torc,0.00461,0.07604,0.39326,0.00000,0.14681,0.00050,0.00750,86.33263,0.02465,0.05596,0.00341,12.91698,0.01420,0.01302,0.00456
90,Prosmyky,brooch_M,0.00460,0.05389,0.40773,0.00281,0.35047,0.01312,0.08140,82.71715,0.00436,0.11562,0.04215,14.27119,0.10609,1.79480,0.02982
91,Prosmyky,brooch_M,0.00325,0.04607,0.34022,0.00000,0.24709,0.01368,0.15130,87.05765,0.00118,0.19522,0.03048,7.85638,0.15157,3.87856,0.02290
92,Prosmyky,brooch_M,0.00468,0.09619,0.47786,0.00000,0.00000,0.01544,0.08836,82.87975,0.03051,0.14085,0.06048,14.41022,0.10531,1.64625,0.03780
93,Prosmyky,bracelet,0.00452,0.00000,0.35312,0.00487,0.00000,0.01991,0.11657,82.83296,0.00093,0.19243,0.03971,14.52704,0.15953,1.73489,0.02523
94,Prosmyky,anklet,0.00400,0.08346,0.38570,0.00427,0.00000,0.00448,0.07401,85.33302,0.02344,0.07725,0.01185,13.68708,0.04990,0.26033,0.00599
95,Prosmyky,anklet,0.00526,0.00000,0.33149,0.00000,0.00000,0.00450,0.03071,86.75618,0.01367,0.07593,0.01295,12.48842,0.05134,0.25598,0.00079
96,Vlineves,torc,0.00000,0.119141,0.041788,0.003458,0.671378,0.004791,0.048469,88.334304,0.086232,0.120499,0.010571,10.141470,0.068338,0.320862,0.012225
97,Vlineves,torc,0.00000,0.000000,0.081894,0.010866,0.118414,0.004125,0.022989,93.871683,0.000000,0.000000,0.026359,5.713096,0.029377,0.111942,0.000000
98,Vlineves,brooch_M,0.00000,0.029970,0.042145,0.002810,0.108897,0.001618,0.041592,91.484343,0.000000,0.064452,0.009025,8.158004,0.017199,0.018873,0.000000
99,Vlineves,brooch_M,0.00000,0.000000,0.023268,0.000958,0.274430,0.010813,0.025150,86.828107,0.000000,0.075006,0.009786,12.737824,0.007870,0.005452,0.000000
100,Vlineves,brooch_M,0.00000,0.066066,0.028837,0.002065,0.141722,0.004196,0.061171,92.677949,0.019413,0.129734,0.027505,6.371912,0.077587,0.297207,0.000000
101,Vlineves,bracelet,0.00000,0.000000,0.004637,0.000000,0.202185,0.008573,0.054156,87.205597,0.000000,0.156113,0.013987,10.759138,0.091091,1.496502,0.008021
102,Vlineves,anklet-saddle,0.00000,0.019834,0.019742,0.001108,0.176777,0.001616,0.014143,88.160787,0.012111,0.200121,0.010644,11.310080,0.058395,0.008466,0.000000
103,Vlineves,anklet-saddle,0.00000,0.001548,0.016900,0.000000,0.010485,0.001725,0.012808,86.649515,0.030415,0.169221,0.010131,12.999095,0.059150,0.017328,0.000000
104,Vlineves,bracelet,0.00000,0.000000,0.011024,0.000000,0.025380,0.022488,0.083087,89.834329,0.000000,0.187572,0.008488,8.654025,0.096280,1.048972,0.028356
105,Vlineves,bracelet,0.000000,0.021269,0.017065,0.003091,0.023989,0.027534,0.088270,88.867595,0.044290,0.219326,0.024773,8.112970,0.094185,2.399420,0.034954
106,Vlineves,bracelet,0.000000,0.000000,0.000000,0.000000,0.000000,0.019683,0.012383,86.077227,0.006543,0.154759,0.009733,13.596962,0.020007,0.094376,0.008327
107,Vlineves,brooch_D,0.00000,0.004233,0.007308,0.000000,0.016930,0.006151,0.026902,86.751174,0.011891,0.178009,0.007582,12.917603,0.048232,0.014667,0.000000
108,Vlineves,brooch_D,0.00000,0.000000,0.025094,0.000000,0.000000,0.004951,0.029808,88.185410,0.005528,0.072231,0.006986,11.558719,0.045237,0.020188,0.000000
